"Method","Runtime_mean_s","Runtime_sd_s"
"ReThiN_NB",155.2,6.74
"PLit_NB",108.01,5.68
"Seurat_VST",35.48,7.74
"Pearson_Residuals",15.24,3.72
"scran_HVG",15.14,0.71
"scry_Deviance",14.72,0.74
"M3Drop",10.25,0.38
"Random_Baseline",0.71,0.31
